year,age,media_activity,sample_size,mean_hours
2011,15-19,Watch MediaCorp TV,93,13.9
2011,15-19,Watch Singtel TV,93,3.4
2011,15-19,Watch StarHub TV,93,4.8
2011,15-19,Access news,93,2.3
2011,15-19,Read magazines,93,0.9
2011,15-19,Listen to the radio,93,3.1
2011,15-19,Watch movies,93,2.1
2011,15-19,Play video games,93,1.3
2011,15-19,Access media-related websites,93,12.1
2011,20-29,Watch MediaCorp TV,196,11.7
2011,20-29,Watch Singtel TV,196,2.5
2011,20-29,Watch StarHub TV,196,5.5
2011,20-29,Access news,196,3.5
2011,20-29,Read magazines,196,1.2
2011,20-29,Listen to the radio,196,4.5
2011,20-29,Watch movies,196,2.3
2011,20-29,Play video games,196,0.5
2011,20-29,Access media-related websites,196,11.1
2011,30-39,Watch MediaCorp TV,216,14.5
2011,30-39,Watch Singtel TV,216,2.3
2011,30-39,Watch StarHub TV,216,5.8
2011,30-39,Access news,216,4.6
2011,30-39,Read magazines,216,1.2
2011,30-39,Listen to the radio,216,5.3
2011,30-39,Watch movies,216,1.3
2011,30-39,Play video games,216,0.5
2011,30-39,Access media-related websites,216,7.3
2011,40-49,Watch MediaCorp TV,226,18
2011,40-49,Watch Singtel TV,226,2.8
2011,40-49,Watch StarHub TV,226,5.9
2011,40-49,Access news,226,5.5
2011,40-49,Read magazines,226,1
2011,40-49,Listen to the radio,226,5.1
2011,40-49,Watch movies,226,0.8
2011,40-49,Play video games,226,0.5
2011,40-49,Access media-related websites,226,5.9
2011,50-59,Watch MediaCorp TV,206,19.9
2011,50-59,Watch Singtel TV,206,2.2
2011,50-59,Watch StarHub TV,206,5.6
2011,50-59,Access news,206,5.5
2011,50-59,Read magazines,206,1.3
2011,50-59,Listen to the radio,206,4.4
2011,50-59,Watch movies,206,0.5
2011,50-59,Play video games,206,0.4
2011,50-59,Access media-related websites,206,2.7
2011,60-65,Watch MediaCorp TV,93,18.2
2011,60-65,Watch Singtel TV,93,1.2
2011,60-65,Watch StarHub TV,93,4.1
2011,60-65,Access news,93,6
2011,60-65,Read magazines,93,0.8
2011,60-65,Listen to the radio,93,6
2011,60-65,Watch movies,93,0.1
2011,60-65,Play video games,93,0.2
2011,60-65,Access media-related websites,93,2.6
2013,15-19,Watch MediaCorp TV,161,15.3
2013,15-19,Watch Singtel TV,161,2.4
2013,15-19,Watch StarHub TV,161,4.4
2013,15-19,Watch animation,161,1.7
2013,15-19,Access news,161,3.4
2013,15-19,Read magazines,161,0.9
2013,15-19,Listen to the radio,161,2.3
2013,15-19,Watch movies,161,2.2
2013,15-19,Watch videos,161,2.7
2013,15-19,Play video games,161,4.1
2013,15-19,Read books,161,3.5
2013,15-19,Listen to music,161,6.4
2013,15-19,Access media-related apps and websites,161,17.2
2013,15-19,Access non-media-related apps and websites,161,17.3
2013,20-29,Watch MediaCorp TV,300,14.3
2013,20-29,Watch Singtel TV,300,2.1
2013,20-29,Watch StarHub TV,300,4
2013,20-29,Watch animation,300,1.2
2013,20-29,Access news,300,3.9
2013,20-29,Read magazines,300,1.2
2013,20-29,Listen to the radio,300,4.6
2013,20-29,Watch movies,300,2.4
2013,20-29,Watch videos,300,2.6
2013,20-29,Play video games,300,2.9
2013,20-29,Read books,300,2.5
2013,20-29,Listen to music,300,6.9
2013,20-29,Access media-related apps and websites,300,16.2
2013,20-29,Access non-media-related apps and websites,300,18.2
2013,30-39,Watch MediaCorp TV,383,15.7
2013,30-39,Watch Singtel TV,383,1.5
2013,30-39,Watch StarHub TV,383,5.3
2013,30-39,Watch animation,383,0.9
2013,30-39,Access news,383,4.5
2013,30-39,Read magazines,383,1.2
2013,30-39,Listen to the radio,383,5
2013,30-39,Watch movies,383,1.5
2013,30-39,Watch videos,383,1
2013,30-39,Play video games,383,1.6
2013,30-39,Read books,383,2.4
2013,30-39,Listen to music,383,4.3
2013,30-39,Access media-related apps and websites,383,10.2
2013,30-39,Access non-media-related apps and websites,383,16.1
2013,40-49,Watch MediaCorp TV,398,18
2013,40-49,Watch Singtel TV,398,2.3
2013,40-49,Watch StarHub TV,398,4
2013,40-49,Watch animation,398,0.8
2013,40-49,Access news,398,4.2
2013,40-49,Read magazines,398,1.4
2013,40-49,Listen to the radio,398,5.5
2013,40-49,Watch movies,398,1.4
2013,40-49,Watch videos,398,0.8
2013,40-49,Play video games,398,1.2
2013,40-49,Read books,398,1.8
2013,40-49,Listen to music,398,3.8
2013,40-49,Access media-related apps and websites,398,10
2013,40-49,Access non-media-related apps and websites,398,12.4
2013,50-59,Watch MediaCorp TV,352,19.2
2013,50-59,Watch Singtel TV,352,1.8
2013,50-59,Watch StarHub TV,352,4.6
2013,50-59,Watch animation,352,0.5
2013,50-59,Access news,352,4.1
2013,50-59,Read magazines,352,1.1
2013,50-59,Listen to the radio,352,4.9
2013,50-59,Watch movies,352,1.5
2013,50-59,Watch videos,352,0.5
2013,50-59,Play video games,352,0.7
2013,50-59,Read books,352,1
2013,50-59,Listen to music,352,2.8
2013,50-59,Access media-related apps and websites,352,6.5
2013,50-59,Access non-media-related apps and websites,352,6.7
2013,60-65,Watch MediaCorp TV,146,22.1
2013,60-65,Watch Singtel TV,146,2.2
2013,60-65,Watch StarHub TV,146,5.1
2013,60-65,Watch animation,146,0.7
2013,60-65,Access news,146,4.5
2013,60-65,Read magazines,146,1.2
2013,60-65,Listen to the radio,146,4.7
2013,60-65,Watch movies,146,1.4
2013,60-65,Watch videos,146,0.5
2013,60-65,Play video games,146,0.8
2013,60-65,Read books,146,1.2
2013,60-65,Listen to music,146,2.5
2013,60-65,Access media-related apps and websites,146,2
2013,60-65,Access non-media-related apps and websites,146,3.6
2014,15-19,Watch MediaCorp TV,189,14.2
2014,15-19,Watch Singtel TV,189,1.1
2014,15-19,Watch StarHub TV,189,2.3
2014,15-19,Access media-related apps and websites,189,24
2014,15-19,Access non-media-related apps and websites,189,21.1
2014,15-19,Access news,189,3.3
2014,15-19,Listen to music,189,9.3
2014,15-19,Listen to the radio,189,2
2014,15-19,Play video games,189,4.7
2014,15-19,Watch videos,189,3.6
2014,15-19,Read books,189,2.4
2014,15-19,Watch movies,189,0.9
2014,15-19,Read magazines,189,0.5
2014,15-19,Watch animation,189,1.1
2014,20-29,Watch MediaCorp TV,380,12.8
2014,20-29,Watch Singtel TV,380,1
2014,20-29,Watch StarHub TV,380,1.7
2014,20-29,Access media-related apps and websites,380,21.2
2014,20-29,Access non-media-related apps and websites,380,23.5
2014,20-29,Access news,380,3.3
2014,20-29,Listen to music,380,7.7
2014,20-29,Listen to the radio,380,4
2014,20-29,Play video games,380,3.9
2014,20-29,Watch videos,380,3.1
2014,20-29,Read books,380,2
2014,20-29,Watch movies,380,1.2
2014,20-29,Read magazines,380,0.8
2014,20-29,Watch animation,380,0.9
2014,30-39,Watch MediaCorp TV,507,15.8
2014,30-39,Watch Singtel TV,507,0.7
2014,30-39,Watch StarHub TV,507,2.3
2014,30-39,Access media-related apps and websites,507,15.3
2014,30-39,Access non-media-related apps and websites,507,18.8
2014,30-39,Access news,507,5.2
2014,30-39,Listen to music,507,4.9
2014,30-39,Listen to the radio,507,5
2014,30-39,Play video games,507,1.8
2014,30-39,Watch videos,507,1.9
2014,30-39,Read books,507,2.1
2014,30-39,Watch movies,507,0.8
2014,30-39,Read magazines,507,1
2014,30-39,Watch animation,507,0.7
2014,40-49,Watch MediaCorp TV,429,17.4
2014,40-49,Watch Singtel TV,429,0.8
2014,40-49,Watch StarHub TV,429,2.5
2014,40-49,Access media-related apps and websites,429,12.6
2014,40-49,Access non-media-related apps and websites,429,13
2014,40-49,Access news,429,5
2014,40-49,Listen to music,429,2.6
2014,40-49,Listen to the radio,429,5
2014,40-49,Play video games,429,1.2
2014,40-49,Watch videos,429,1.4
2014,40-49,Read books,429,1.5
2014,40-49,Watch movies,429,0.4
2014,40-49,Read magazines,429,0.9
2014,40-49,Watch animation,429,0.5
2014,50-59,Watch MediaCorp TV,352,20.8
2014,50-59,Watch Singtel TV,352,1.3
2014,50-59,Watch StarHub TV,352,2.2
2014,50-59,Access media-related apps and websites,352,11.9
2014,50-59,Access non-media-related apps and websites,352,8.5
2014,50-59,Access news,352,5.6
2014,50-59,Listen to music,352,3.9
2014,50-59,Listen to the radio,352,5.8
2014,50-59,Play video games,352,1
2014,50-59,Watch videos,352,0.9
2014,50-59,Read books,352,1.5
2014,50-59,Watch movies,352,0.4
2014,50-59,Read magazines,352,0.7
2014,50-59,Watch animation,352,0.2
2014,60-65,Watch MediaCorp TV,151,22.4
2014,60-65,Watch Singtel TV,151,0.9
2014,60-65,Watch StarHub TV,151,3.5
2014,60-65,Access media-related apps and websites,151,11.4
2014,60-65,Access non-media-related apps and websites,151,3.6
2014,60-65,Access news,151,5.9
2014,60-65,Listen to music,151,2.1
2014,60-65,Listen to the radio,151,6.1
2014,60-65,Play video games,151,0.7
2014,60-65,Watch videos,151,0.7
2014,60-65,Read books,151,1.5
2014,60-65,Watch animation,151,0.1
2014,60-65,Read magazines,151,1.1
2014,60-65,Watch movies,151,0.2
2015,15-19,Watch MediaCorp TV,188,15.2
2015,15-19,Watch Singtel TV,188,2.3
2015,15-19,Watch StarHub TV,188,2
2015,15-19,Access media-related apps and websites,188,33.3
2015,15-19,Access non-media-related apps and websites,188,26.5
2015,15-19,Watch videos,188,3
2015,15-19,Watch movies,188,1.8
2015,15-19,Access news,188,4.1
2015,15-19,Read magazines,188,0.2
2015,15-19,Listen to the radio,188,2.8
2015,15-19,Play video games,188,8.4
2015,15-19,Read books,188,2.7
2015,15-19,Listen to music,188,10.7
2015,20-29,Watch MediaCorp TV,395,12.2
2015,20-29,Watch Singtel TV,395,1.6
2015,20-29,Watch StarHub TV,395,2.2
2015,20-29,Access media-related apps and websites,395,27.2
2015,20-29,Access non-media-related apps and websites,395,24.3
2015,20-29,Watch videos,395,2.7
2015,20-29,Watch movies,395,1.3
2015,20-29,Access news,395,4.7
2015,20-29,Read magazines,395,0.5
2015,20-29,Listen to the radio,395,3.6
2015,20-29,Play video games,395,3.9
2015,20-29,Read books,395,1.7
2015,20-29,Listen to music,395,8.9
2015,30-39,Watch MediaCorp TV,414,14.9
2015,30-39,Watch Singtel TV,414,1.1
2015,30-39,Watch StarHub TV,414,2.6
2015,30-39,Access media-related apps and websites,414,18.2
2015,30-39,Access non-media-related apps and websites,414,17.8
2015,30-39,Watch videos,414,2.3
2015,30-39,Watch movies,414,1
2015,30-39,Access news,414,6
2015,30-39,Read magazines,414,0.5
2015,30-39,Listen to the radio,414,4.4
2015,30-39,Play video games,414,1.6
2015,30-39,Read books,414,1.6
2015,30-39,Listen to music,414,5.6
2015,40-49,Watch MediaCorp TV,422,18.4
2015,40-49,Watch Singtel TV,422,1.4
2015,40-49,Watch StarHub TV,422,2.8
2015,40-49,Access media-related apps and websites,422,13.3
2015,40-49,Access non-media-related apps and websites,422,12.6
2015,40-49,Watch videos,422,1.5
2015,40-49,Watch movies,422,1
2015,40-49,Access news,422,6.4
2015,40-49,Read magazines,422,0.5
2015,40-49,Listen to the radio,422,6.8
2015,40-49,Play video games,422,1.6
2015,40-49,Read books,422,1.3
2015,40-49,Listen to music,422,3.7
2015,50-59,Watch MediaCorp TV,407,21.5
